historical_script_path	current_distribution_status	current_public_path	portability_note
code/05_GBI_construction/qc_endpointfix_gbi.py	not_distributed	NA	Historical QC helper omitted; locked GBI QC outputs and portable construction script are distributed.
code/05_GBI_construction/qc_endpointfix_no_fuse_gbi.py	not_distributed	NA	Historical QC helper omitted; locked GBI QC outputs and portable construction script are distributed.
code/07_nested_ttest_baseline_gLOOCV/render_phase12B_figures.R	distributed_path_scrubbed	code/07_nested_ttest_baseline_gLOOCV/render_phase12B_figures.R	Distributed under code; project roots are configurable.
code/07_nested_ttest_baseline_gLOOCV/run_phase12B_nested_ttest_baseline.R	distributed_path_scrubbed	code/07_nested_ttest_baseline_gLOOCV/run_phase12B_nested_ttest_baseline.R	Distributed under code; project roots are configurable.
code/08_Figure4_Figure5_alignment/apply_opus47_phase13_patch.R	distributed_provenance	code/08_Figure4_Figure5_alignment/apply_opus47_phase13_patch.R	Distributed for provenance; review package wording is historical and not a manuscript claim.
code/08_Figure4_Figure5_alignment/fix_figure4_combined_artifact.R	distributed_provenance	code/08_Figure4_Figure5_alignment/fix_figure4_combined_artifact.R	Distributed for provenance; artwork packaging helper only.
code/08_Figure4_Figure5_alignment/render_phase13_svg_outputs.R	distributed_provenance	code/08_Figure4_Figure5_alignment/render_phase13_svg_outputs.R	Distributed for provenance; artwork rendering helper only.
code/08_Figure4_Figure5_alignment/run_phase13_figure4_5_alignment.R	distributed_path_scrubbed	code/08_Figure4_Figure5_alignment/run_phase13_figure4_5_alignment.R	Distributed under code; project roots are configurable.
code/09_corrected_full_data_LASSO_architecture/run_phase12A_corrected_lasso_sensitivity.R	distributed_path_scrubbed	code/09_corrected_full_data_LASSO_architecture/run_phase12A_corrected_lasso_sensitivity.R	Distributed under code; project roots are configurable.
code/10_foldwise_ASR_sensitivity/run_foldwise_ASR_sensitivity.R	distributed_path_scrubbed	code/10_foldwise_ASR_sensitivity/run_foldwise_ASR_sensitivity.R	Distributed under code; project roots are configurable.
code/11_figure_generation/Figure1/Figure1C.R	not_distributed	NA	Historical artwork variant omitted; figure Source Data are distributed.
code/11_figure_generation/Figure1/Figure1C_JQ.R	not_distributed	NA	Historical artwork variant omitted; figure Source Data are distributed.
code/11_figure_generation/Figure1/Figure1C_marine_3_clade.R	not_distributed	NA	Historical artwork variant omitted; figure Source Data are distributed.
code/11_figure_generation/Figure2/plot_Figure2C_endpointfix_OOF_main_vFinal.py	distributed_path_scrubbed	code/11_figure_generation/Figure2/plot_Figure2C_endpointfix_OOF_main_vFinal.py	Distributed under code; input/output roots are configurable.
code/11_figure_generation/Figure2/plot_Figure2_endpointfix.py	distributed_path_scrubbed	code/11_figure_generation/Figure2/plot_Figure2_endpointfix.py	Distributed under code; input/output roots are configurable.
code/11_figure_generation/Figure2/plot_Figure2_endpointfix.template_from_old_figure.R	distributed_provenance	code/11_figure_generation/Figure2/plot_Figure2_endpointfix.template_from_old_figure.R	Distributed as a visual-template provenance script; current values come from endpoint-fix Source Data.
code/11_figure_generation/Figure4/prepare_inputs_and_make_Figure4A_corrected.R	distributed_path_scrubbed	code/11_figure_generation/Figure4/prepare_inputs_and_make_Figure4A_corrected.R	Distributed under code; input/output roots are configurable.
code/11_figure_generation/Figure5/make_Figure5_final_artwork_draft.py	distributed_path_scrubbed	code/11_figure_generation/Figure5/make_Figure5_final_artwork_draft.py	Distributed under code; input/output roots are configurable.
code/99_release_package_build/build_nature_submission_reproducibility_package.py	not_distributed	NA	Internal release-assembly helper omitted; it is not needed to run analyses.
metadata/branch_label_mapping/scripts_build_branch_label_crosswalk.py	not_distributed	NA	Historical crosswalk-construction helper omitted; final crosswalk tables, validation and mapping documentation are distributed.
