gene	lasso_group	selected_in_marine	selected_in_aquatic	marine_coef	aquatic_coef	max_abs_coef	coefficient_direction_summary	pro_recommended_module	display_module	recommended_submodule_or_function	annotation_confidence	recommended_for_Figure4C_original	recommended_for_Figure4C_display	recommended_for_TableS5_only	keep_unassigned	evidence_summary	key_sources	reason_for_assignment	notes_for_manual_review	display_decision_note
CATSPERG	aquatic_specific	False	True	0.0	-0.232264	0.232264	aquatic slow direction negative	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	CatSper sperm calcium-channel complex component	high	True	True	False	False	CatSper sperm calcium-channel complex component. CatSper complex component; strong reproductive-cell/flagellar assignment.	UniProt; NCBI Gene; GO	CatSper complex component; strong reproductive-cell/flagellar assignment.		Main Figure4C display candidate under compressed-module policy.
DEUP1	aquatic_specific	False	True	0.0	0.0985919	0.0985919	aquatic fast direction positive	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	centriole amplification / multiciliogenesis	high	True	True	False	False	centriole amplification / multiciliogenesis. Known regulator of deuterosome-mediated centriole amplification.	UniProt; NCBI Gene; GO	Known regulator of deuterosome-mediated centriole amplification.		Main Figure4C display candidate under compressed-module policy.
SPEF2	aquatic_specific	False	True	0.0	0.17406	0.17406	aquatic fast direction positive	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	sperm flagellum and motile cilia structure	high	True	True	False	False	sperm flagellum and motile cilia structure. Sperm flagellum/motile cilia gene; priority rescue.	UniProt; NCBI Gene; GO; OMIM	Sperm flagellum/motile cilia gene; priority rescue.		Main Figure4C display candidate under compressed-module policy.
CATSPER4	marine_specific	True	False	-0.0348618	0.0	0.0348618	marine slow direction negative	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	CatSper sperm calcium-channel complex component	high	True	True	False	False	CatSper sperm calcium-channel complex component. CatSper complex component; strong reproductive-cell/flagellar assignment.	UniProt; NCBI Gene; GO	CatSper complex component; strong reproductive-cell/flagellar assignment.		Main Figure4C display candidate under compressed-module policy.
CATSPERZ	shared	True	True	-0.264244	-0.15403	0.264244	marine slow direction negative; aquatic slow direction negative	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	CatSper sperm calcium-channel complex component	high	True	True	False	False	CatSper sperm calcium-channel complex component. CatSper complex component; strong reproductive-cell/flagellar assignment.	UniProt; NCBI Gene; GO	CatSper complex component; strong reproductive-cell/flagellar assignment.		Main Figure4C display candidate under compressed-module policy.
TOGARAM2	shared	True	True	0.129304	0.039366	0.129304	marine fast direction positive; aquatic fast direction positive	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	ciliary/centrosomal microtubule-associated protein	medium	True	True	False	False	ciliary/centrosomal microtubule-associated protein. TOG-array protein with centrosome/cilia-associated function; medium-confidence cilia placement.	UniProt; NCBI Gene; GO	TOG-array protein with centrosome/cilia-associated function; medium-confidence cilia placement.		Main Figure4C display candidate under compressed-module policy.
WDR93	shared	True	True	-0.242927	-0.47932	0.47932	marine slow direction negative; aquatic slow direction negative	Cilia / flagella / reproductive-cell function	Cilia / flagella / reproductive-cell function	ciliary transition-zone / cilium organization factor	medium	True	True	False	False	ciliary transition-zone / cilium organization factor. Ciliary localization and cilium-organization evidence supports rescue, but human functional curation is still emerging.	UniProt; NCBI Gene; GO; PubMed	Ciliary localization and cilium-organization evidence supports rescue, but human functional curation is still emerging.	Manual review: priority rescued gene; keep medium confidence.	Main Figure4C display candidate under compressed-module policy.
CLASP2	aquatic_specific	False	True	0.0	-0.153216	0.153216	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	microtubule plus-end tracking and cytoskeletal organization	high	True	True	False	False	microtubule plus-end tracking and cytoskeletal organization. Microtubule-associated protein; priority rescue.	UniProt; NCBI Gene; GO	Microtubule-associated protein; priority rescue.		Main Figure4C display candidate under compressed-module policy.
CORO2A	aquatic_specific	False	True	0.0	-0.110435	0.110435	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	coronin actin-cytoskeleton regulator	medium	True	True	False	False	coronin actin-cytoskeleton regulator. Coronin-family cytoskeletal regulator; medium confidence.	UniProt; NCBI Gene; GO	Coronin-family cytoskeletal regulator; medium confidence.		Main Figure4C display candidate under compressed-module policy.
MSN	aquatic_specific	False	True	0.0	-0.0286086	0.0286086	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	ERM family membrane-actin linker	high	True	True	False	False	ERM family membrane-actin linker. Moesin links membrane and actin cytoskeleton.	UniProt; NCBI Gene; GO	Moesin links membrane and actin cytoskeleton.		Main Figure4C display candidate under compressed-module policy.
